LINEA;SUPERFICIE;PROFILO;ALTEZZA;VOLUME (CC);LARGHEZZA/DIAMETRO (cm);ALTEZZA (cm);PROIEZIONE (cm);ARCO (cm);CODICE PRODOTTO;SIZER GEL;COESIVITA';
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;125;8.9;-;2.8;-;3501251BC;RSZ1251;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;150;9.5;-;2.9;-;3501501BC;RSZ1501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;175;10;-;3.1;-;3501751BC;RSZ1751;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;200;10.5;-;3.2;-;3502001BC;RSZ2001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;225;10.9;-;3.3;-;3502251BC;RSZ2251;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;250;11.3;-;3.4;-;3502501BC;RSZ2501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;275;11.7;-;3.5;-;3502751BC;RSZ2751;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;300;12;-;3.6;-;3503001BC;RSZ3001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;325;12.3;-;3.8;-;3503251BC;RSZ3251;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;350;12.5;-;3.9;-;3503501BC;RSZ3501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;375;12.8;-;4;-;3503751BC;RSZ3751;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;400;13.1;-;4;-;3504001BC;RSZ4001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;450;13.6;-;4.2;-;3504501BC;RSZ4501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;500;14.1;-;4.3;-;3505001BC;RSZ5001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;550;14.6;-;4.5;-;3505501BC;RSZ5501;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;600;15;-;4.6;-;3506001BC;RSZ6001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;700;15.8;-;4.9;-;3507001BC;RSZ7001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Moderato Plus;Rotonda;800;16.5;-;5.1;-;3508001BC;RSZ8001;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;125;8.3;-;3.5;-;3501254BC;RSZ1254;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;150;8.8;-;3.7;-;3501504BC;RSZ1504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;175;9.3;-;3.9;-;3501754BC;RSZ1754;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;200;9.7;-;4;-;3502004BC;RSZ2004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;225;10.1;-;4.2;-;3502254BC;RSZ2254;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;250;10.5;-;4.3;-;3502504BC;RSZ2504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;275;10.8;-;4.4;-;3502754BC;RSZ2754;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;300;11.1;-;4.5;-;3503004BC;RSZ3004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;325;11.4;-;4.6;-;3503254BC;RSZ3254;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;350;11.7;-;4.8;-;3503504BC;RSZ3504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;375;12;-;4.8;-;3503754BC;RSZ3754;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;400;12.2;-;5;-;3504004BC;RSZ4004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;425;12.5;-;5;-;3504254BC;RSZ4254;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;450;12.8;-;5.1;-;3504504BC;RSZ4504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;500;13.2;-;5.3;-;3505004BC;RSZ5004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;550;13.6;-;5.5;-;3505504BC;RSZ5504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;600;14;-;5.6;-;3506004BC;RSZ6004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;650;14.4;-;5.7;-;3506504BC;RSZ6504;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;700;14.8;-;5.8;-;3507004BC;RSZ7004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Alto;Rotonda;800;15.5;-;6;-;3508004BC;RSZ8004;Coesivo I;
Protesi Rotonde Lisce;Lisce;Ultra Alto;Rotonda;135;7.8;-;4.1;-;3505135BC;RSZ5135;Coesivo I;
