Macrocategoria;Linea;Superficie;Forma;Profilo;Codice Prodotto;Larghezza (mm);Altezza (mm);Proiezione (mm);Arco (mm);LVC (mm);Volume (ml)
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-130LW25;93;93;32;59;59;130
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-150LW25;98;98;34;62;62;150
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-175LW25;103;103;35;65;65;175
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-200LW25;108;108;36;68;68;200
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-230LW25;113;113;37;71;71;230
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-260LW25;118;118;39;74;74;260
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-290LW25;123;123;40;77;77;290
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-325LW25;128;128;41;80;80;325
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-365LW25;133;133;42;83;83;365
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-405LW25;138;138;44;86;86;405
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-450LW25;143;143;45;89;89;450
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-495LW25;148;148;46;92;92;495
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-545LW25;153;153;47;95;95;545
Protesi Mammarie;B-Lite;MESMO;Même;Moderato;15625-600LW25;158;158;49;98;98;600
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-165LW25;93;93;39;64;64;165
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-190LW25;98;98;41;67;67;190
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-215LW25;103;103;43;71;71;215
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-250LW25;108;108;44;74;74;250
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-285LW25;113;113;46;77;77;285
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-325LW25;118;118;48;80;80;325
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-365LW25;123;123;49;83;83;365
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-410LW25;128;128;51;87;87;410
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-460LW25;133;133;53;90;90;460
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-510LW25;138;138;54;93;93;510
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-565LW25;143;143;56;96;96;565
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-625LW25;148;148;58;100;100;625
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-690LW25;153;153;59;103;103;690
Protesi Mammarie;B-Lite;MESMO;Même;Alto;15626-760LW25;158;158;61;106;106;760
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-195LW25;93;93;47;69;69;195
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-225LW25;98;98;49;73;73;225
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-260LW25;103;103;51;77;77;260
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-300LW25;108;108;53;80;80;300
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-345LW25;113;113;55;84;84;345
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-390LW25;118;118;57;87;87;390
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-440LW25;123;123;59;91;91;440
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-495LW25;128;128;61;94;94;495
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-555LW25;133;133;63;98;98;555
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-615LW25;138;138;65;101;101;615
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-685LW25;143;143;67;105;105;685
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-755LW25;148;148;69;108;108;755
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-835LW25;153;153;71;112;112;835
Protesi Mammarie;B-Lite;MESMO;Même;Extra Alto;15627-920LW25;158;158;73;115;115;920
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-155LW25;103;103;35;50;69;155
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-175LW25;108;108;36;52;72;175
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-200LW25;113;113;37;55;75;200
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-230LW25;118;118;39;57;78;230
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-255LW25;123;123;40;59;82;255
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-290LW25;128;128;41;61;85;290
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-320LW25;133;133;42;63;88;320
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-355LW25;138;138;44;66;91;355
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-395LW25;143;143;45;68;94;395
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-435LW25;148;148;46;70;97;435
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-480LW25;153;153;47;72;100;480
Protesi Mammarie;B-Lite;MESMO;Replicon;Moderato;15635-525LW25;158;158;49;74;103;525
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-190LW25;103;103;43;57;76;190
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-220LW25;108;108;44;59;79;220
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-250LW25;113;113;46;62;83;250
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-285LW25;118;118;48;64;86;285
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-320LW25;123;123;49;67;89;320
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-360LW25;128;128;51;69;93;360
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-405LW25;133;133;53;72;96;405
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-450LW25;138;138;54;74;100;450
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-500LW25;143;143;56;77;103;500
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-550LW25;148;148;58;79;107;550
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-610LW25;153;153;59;82;110;610
Protesi Mammarie;B-Lite;MESMO;Replicon;Alto;15636-670LW25;158;158;61;84;114;670
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-200LW25;98;98;49;61;79;200
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-230LW25;103;103;51;63;83;230
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-265LW25;108;108;53;66;87;265
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-300LW25;113;113;55;69;90;300
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-345LW25;118;118;57;72;94;345
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-385LW25;123;123;59;75;98;385
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-435LW25;128;128;61;78;102;435
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-485LW25;133;133;63;80;105;485
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-545LW25;138;138;65;83;109;545
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-605LW25;143;143;67;86;113;605
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-665LW25;148;148;69;89;117;665
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-735LW25;153;153;71;92;121;735
Protesi Mammarie;B-Lite;MESMO;Replicon;Extra Alto;15637-810LW25;158;158;73;95;124;810
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-170LW25;113;95;37;51;67;170
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-190LW25;118;100;39;53;70;190
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-215LW25;123;104;40;55;72;215
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-240LW25;128;108;41;57;75;240
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-270LW25;133;112;42;59;78;270
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-300LW25;138;116;44;61;81;300
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-330LW25;143;121;45;63;83;330
Protesi Mammarie;B-Lite;MESMO;Opticon;Moderato;15645-365LW25;148;125;46;65;86;365
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-210LW25;113;95;46;58;75;210
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-240LW25;118;100;48;61;78;240
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-270LW25;123;104;49;63;81;270
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-305LW25;128;108;51;65;84;305
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-340LW25;133;112;53;68;87;340
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-380LW25;138;116;54;70;90;380
Protesi Mammarie;B-Lite;MESMO;Opticon;Alto;15646-420LW25;143;121;56;72;93;420
